decoded_emojis,rating
اعطي السائقين حقهم,-1
أكثر من صحن تغليف مقطع والأكل مكشوف.. وطلبت من السائق الانتظار أستفسر من المطعم ولكنه لم ينتظر.. ومع أن الطلب كان كثيرا وقد طلبت من (طلبات) -عندما تواصلوا معي أول ما طلبت- توفير سيارة إلا أنهم أصروا على الدراجة.. للأسف هذا أمر يتعلق بصحة الإنسان ويبدو أنه ليس من الأولويات.. سأحذف التطبيق..,-1
اسسسواء تطبيق لي ساعتين استنى الطلب من برجر كنج الاخير يقول مافي توصيل ... اول هو اخر مرا اطلب منكم هنقرستيشن احسن منكم,-1
خالد enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face,-1
التطبيق لا يوصل الي كافه السلطه هو نتمني ان يقوم بتفعيل ذلك هو توصيل لكافة سلطته,1
تطبيق جميل بس لو تريدون مطاعم الوجبات السريعه مثل كنتاكي ماكدونالدز هو بوبايز شاكرة لكم جهودكم thumbs up,1
يتاخر طليت طلب جلست فوق الساعه ونص وانا اسمنا الاخير انه وفي وجبه ناقصه ...... لازم تلاقي حل لهذه المشكله ..... مشكله انو يجي الطلب ناقص وجبه,-1
خرهههه ناس نسخه,-1
بصراحه تطبيق جدا رائع,1
نشر,1
خدمه سيئه جدا جداا الاكواد لا تعمل والمطاعم مشغوله اسعار اعلي من المنافسين,-1
aft,-1
في مشكلة بالتطبيق انا ما بوصل على اللبان هو أتمنى انكن تساعدوني,-1
شركه نصابه انا طالب منتج من يوم /ولسه موصل وكل لما المهم ردهم خلال ساعه وهيتواصلوا معاك ولا حد يتواصل ولا حاجه هما بيخدوا الفلوس ومعندهمش منتجات,-1
رووووووووووووووووووووووعهه,1
استغلالي بطيئ وقوانين كثير مخزي,-1
face savoring food face savoring food face savoring food face savoring food,1
توصيل طلبات مجاني بوقت مثالي,1
جسمي نبي raised hand,0
they have a good service,1
ماشي احسن من طلبات,1
طلبة بسهولة جدا وجاء الطلب متأخر شوية لكن صراحة برنامج ممتاز جدا شكرا لكم,1
تجربه ممتازة جدا جدا جدا جدا جدا,1
رائع لاكن الاسعار غاليه,1
سيء جدا أنصح بعدم تحميله فيه اخطاء وكذب,-1
كود التفعيل لم يصل ياريت تحلو المشكله دي,-1
ممتاز بس انجلو علينا جيران,1
افضل تطبيق على وجه الأرض طلبات من المطاعم حتى احسن من هنتر ستيشن thumbs up thumbs up,1
مميزين,1
انا مش فاهم هو تبع اية,-1
الله هل,1
جميييل انصح بالتحميل,1
احسن موقع الصراحة,1
انا موسى التطبيق جدا طيب ولذيذ,1
جميللل من اجمل برامج الطلبات,1
هاذا البرنامج رروووووووووووعهههههههه ممتاز,1
تطبيق سيء سيء جدا جدا جدا جدا جدا,1
جميل احسن برنامج,1
افضل تطبيق مطاعم,1
الله يعطيكم الكافيه والله ريحتونا مررررره,1
"Mais, pro",1
انه رائع وسريع في الطلبات,1
الأكل منها لذيذ,1
لا يقبل تشغيل التطبيق,-1
ebb,1
لايعمل التوصيل المنطقة المركزية مافي خيارات عديدة للمطاعم,-1
للاسف الشركة.سي جدا هو مفيش احترام للموعد هو اوقات ننتظر اكثر من ساعة,-1
التوصيل حلو وم قد جاني طلب غلط والى شي ان التوصيل ارخص من بعض التطبيقات يعني تطبيق من ثم لا لا في,1
جدا روعه ومميز عن باقي تطبيقات وجدن كلاس اعجبني انا والتي كلها ولنا اشرف ان نقيمكم نعطيكم رأينا ونتمنى لكم يوم سعيدا,1
جميل بسرعه في التوصيل,1
انا عايز اشتغل كابتن ملاكي عايز البرنامج واعمل اكاونت. ايه الاوراق المطلوبه.,1
برنامج فاشل اول مره استخدمه حال الموقع الرياض حي الرياح يروح يوصله أجده جوعان الله لا يوفقكم لي ساعه انتظر اخر شي كذا ليتني رايح البقاله مشتري فطيره احسن من برنامجكم الفاشل المنحط السفير الحين وش يخبرني ميت جوع,-1
مسحته ومستحيل ارجع انزله,-1
thumbs up wicked. .. . .On time precisely,1
محتاجه عربي حصص لساعات # الدراسه الشيخ الحي زايد الي الاول مدينه جيش الفردوس مدرسه إيهاب مرسي والتحدث كاركترز هيا رجاء المتابعه,0
حمل هنتر ستيشن في الموقع وكل شي,-1
شركة زبالة خدمتها زبالة,-1
ممتازه جدااااا,1
جدآ رائع thumbs up,1
ممتاز جدا وصرت ما استغني عنه,1
رائع ومفيد على الإطلاق,1
أنا سعودي بس عمي في العراق فعلوا يكون من المطار الهم هو هم مشوهة بس ليش رايلين لهناك كلهم يهود,-1
استغرامي nawab _,1
لو بس طريق تنشر كارفر يصير ﺈحسن,0
شي,-1
sparkling heart sparkling heart sparkling heart sparkling heart sparkling heart sparkling heart sparkling heart sparkling heart heart exclamation revolving hearts two hearts two hearts heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart decoration heart suit heart decoration heart suit heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration heart suit heart decoration taliban,1
الامر,1
اكره ذالك,-1
لم تضاف الى الي المحافظه بعد التحديث,-1
احلم برنامج توصيل الطلبات بسرعة وحار اتمنى كل واحد ووحده تنزل هاذا البرنامج smiling face with smiling eyes smiling face with smiling eyes smiling face with smiling eyes smiling face with smiling eyes smiling face with smiling eyes smiling face with smiling eyes smiling face with smiling eyes,1
اسؤ تطبيق هو خدمه العمل سيئه جدا,-1
حسب الله ونعم الوكيل بكل ظالم,-1
فقط بعد توصيل طلبك للمره الاول بعدها لا تحتاج للقلق عليه برنامج ممتاز هو مريح جدا,1
محترم فى المواعيد السائقين,1
تطبيق ممتاز سريع في التوصيل الاكل سخن ورائع ولكن هناك مشكله واحد هي ان لازم ارسل الجوكيشن كل مره عند الطلب. شكرا,1
زلت زي وشك,-1
لا انصح باستخدام البرنامج،، بعض المطاعم تأخذ المال مقدما،، وتلغي الطلب بحجة ليس لديها المعلومات الكافيه لعنوان السكن.. رغم ان برنامج طلبات يأخذ عنوان السكن بالتفصيل الممل مع رقم المنزل هو الشارع بالاضافه مع مشاركة الموقع على الخريطه.. اخذو مالي والجو طلبي هو نمت من غير اكل هو خسارة المال..,-1
تطبيق مش حلو وحش مفيش كود تفعيل بيجي خالص,-1
خيارات متعدده ووممتازه,1
برنامج جميل red heart,1
ممتاز لكن يطول,-1
المطعم جيد جدا هو يوصل الطلبات سريعا جدا هو العملاء محترمين ارجو التكملة على هذا المستوى,1
انا من اسكندريه العظمى حجزت سويفت وكان عادى الساعه .دقيقه وبعد انتظار دقيقه وتواصل مع السائق اكتر من مكالمه وابلاغى انه فى الطريق وانتظار فى الشمس بطفل عمره ثلاث سنوات تأخير على ميعاد دكتور الطفل اتصلت بالسائق فى المكالمه الرابعه الغنى انه تم تغيير خط السير وأن لم يكن شيئا وايضا تم اضافه رسوم الرحله,-1
افضل تطبيق طلب وجبات,1
التطبيق ليفتح ويظهر رساله سنقوم بحل المشكله عن قريب ومن اكتر من شهر والموقع برو فيه مشاكل ببطئ شديد ولما بيجي تدخل علي اي حاجه مافي اكشن فيها والمال بتاع الشركه واقف واشتريت وجدت رقم موردر والطلب موصل من شهرين خدمه العملاء تقولي رقم الطلب مش موجود علشان نحدث بعض البيانات رايه دي كانت زمان احسن شركه لكن دلوقتي زلت,-1
تلو,-1
جميل جدا احلى برنامج,1
افضل تطبيق heart suit heart suit,1
قمه الروعه والجمال ربنا يحفظك ويبارك فيكم جميعا يارب العالمين,1
برنامج ممتاز جدآ smiling face with heart-eyes OK_hand,1
برنامج رائع لكنه لا يوصل الى جميع الولايات في السلطة مثل لحم,1
⁦ red heart ⁩⁦ red heart ⁩افضل تطبيق,1
الأبلكيشن محتاج تعديل في المحطات ياريت تشغلوا عليه شوية,-1
خدمة جيدة جدا ممتازة يوجد به كل ماتريد من سوبر ماركت ومطاعم شهيره والعديد من الاشياء,1
بتعمل بلوكات لحسابات الناس وبتصرفو المجاري اللي فيها ولا حياة لمن تنادي لو راجعناكم عالفاضي,-1
انا دلوقتي واجهتني مشكلة كبيره بجد ليه الخدمه بقت وحشه كده السوق مش معاه التليفون باعه الي عليه الركاب .. النهارده والدتي كانت رايته المستشفى فحجزتلها سوف فضلت واقفه عشان حد يجعلها يالها واحد مش نفس الرقم الي في الابلكاشن فماركبتش اتصل بالسوق قالي معلش هو داخل عليكي اهو قولتلو هو مين مش حضرتك الي سابق قالي لا هو ساي موبايل معايا سكت هو قلت عادي ماما واقفه مستنيه من الساعه هو مفادها : فضلت لحد : دقيقة واقفه هو كل ده بسبب انهم مثيرين ولا مش عارفه مهذبين ايه هو اشوف اللوكشن بتاع العربيه,-1
نزلت التطبيق ومش راضي. يفتح بقولي تحديث وادخل على المتجر ملقاة تحديث,-1
بدأ يشكل افتحه وما يطلع شي اضغط على الخيارات ويطلق طلبات السابقه الخ بس ماشي مثل قبل اسماء المطاعم وكذا ماشي ضاع شكله,-1
عايز اسجل كابتن ازاي الطريقه التطبيق مافيهوش تسجيل كابتن ارجو الاراده,1
مدراء طلبات باربي عم يلعب اعدادات البرنامج ليسرق السائقين واحدا متجر يحكي لان جوازات السحر معجون نحنا بحاجة طريقة او رقم لادارة الشركة بالامارات ضروري وكلائكون ما التزم بالعقود وعم يسرق كل شهر بطرق جديدة اما لعب بالتقييم او بحجم تامين لدولة ابريل رجاء طريقة نوصل فيها الادارة الاساسية وكلائكون مطعم يشبع سرقة,-1
تجربة جيدة ومريحة,1
الضريبة المضافة ليست جيده,-1
انه البرنامج مفيد جدا,1
تطبيق جميل جدا لاكن سوف يصبح افضل اذا تمت اضافه اي وصل الطلب,1
اول ما حملته جوالي صلب وبعد يشتغل فيه شي وصيته عند المصلح قال ربان واشتريت جوال ثاني وجدت اكتب التعليق يوم دخلته انا مدينتي جده يقول مافي جده لعلي بس الرياض غي الا علامات واو وعقب ما يتغشمرو مع الناس لا صراحه وااااااااااااااااايد ما يعجبني astonished face astonished face astonished face astonished face pouting cat pouting cat pouting cat وايد كان يتمكن اني اكتب بدون نجمه كتبت مالت علي وع حظي,-1
يججنننن مشاالله خقاا red heart red heart red heart,-1
عبوووود البرنامج مممممره حلو,1
سراحه يجني,1
الصراحه خدمه التواصل ممتازه جدا وطرقت الكلام ممتازه,1
يوصل الاكل باقل من عشر دقايق thumbs up,1
أريد تسريع التوصيل أشوي,1
جعانفوفة,1
للاسف جاني غير طلبي وجبه مختلفه سعرها اقل وحجم صغير وانا طالبه وسط واكثر من صوص ولا جاني!!,-1
التطبيق مو راضي ينزل,1
روعه وايد حلو وشكر خاص وصانع البرنامج,1
مررررة ممتاااز red heart بس شوي يتأخر,1
التطبيق رائع بس ياريت الخدمه توصل للعراق face blowing a kiss face blowing a kiss,1
التطبيق رائع جدا ولكن هناك مشكل لم تلاقيه كاترين هناك خصم ولكن ليس هناك خصم ارجو اصلاح للمشاكل,1
أريد فنى تركيب ماكينه السلم فينوس العاشر من رمضان,1
تم التنزيل وان شاء الله متفقين دوما,1
افضل تطبيق على الاطلاق :-),1
لذيذ وهي وحار وسريع يمي,1
طلبات بيجى ناقصة,-1
ياجماعه التطبيق لو حظيت فيه فلوس بسحبها ويحظرك ....وحصل معايا تكلمت الدعم ومرضيوش يفكروا الحظر ....احذروا من تطبيق طلبات,-1
في عندي مشكله اثناء تسجيل البريد الإلكتروني,-1
احسنتم وجزاكم الله كل خير تستاهلوا أكثر من خمس نجوم winking face winking face winking face beaming face with smiling eyes beaming face with smiling eyes,1
برنامج ممتاز بس لا لم تزيد من خيار المطاعم الي موجوده بتعقبه وشكرا OK_hand light skin tone OK_hand light skin tone,1
برنامج جميل بس اتمني اضافه المزيد من المطاعم,-1
الطلب في نصف ساعه هو بدوووون نقص ما هذا,1
هذا الموقع ذكي اذا الواحد ماعندك رصيد يطلب عبر هذا الموقع شكرا graduation cap raised hand,1
صحيح ومعك حق حسب الله ونعم الوكيل من كل شخص اين وغادر,-1
الفكرة مدهشة تثير اﻷعجاب ياريت الخدمة التي ستقدم ﻵحقا ترسخ ازواج مفهوم أﻷعجاب من خلال الطرح الذي سيدفع المستهلك إلي أما اﻷقتناع أو التراجع.,1
مره حلو انصحك فيه يوصل بسرعه.,1
مره حلو رووووووووووعه,1
تطبيق بجنون بوصل الاكل بوقت قصير انا هو عائلتي من عشاق طلبات هو خصوصا طلبات مارت هو المطاعم,1
منتااااز,1
خدمه سريعه دقيقه ورائعه,1
معظم الاماكن مش يغطيها,-1
يعني في شارما وبطاطا,1
طريقة بومبستك نزول وشعر هو منو انا مش من جثته الشركة,1
ليش الاكل يوصلني بارد,-1
حبيت التطبيق بس يريد لو فيه متابعه للطلب,1
بحاول افتح التطبيق بقولي ادخل الفيس بوك بدخل الفيس مش يدخل نهائي,-1
تطبيق ممتاز ورا مع,1
يجننننن مرة اتمنى لكل يجربه,1
thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up,1
الشماليه حي بدر,1
يعطيكم العافية احسن برنامج,1
برنااامج رائع جدا وقال نستفيد منه,1
ياجماعه بعد اذنكم هو انا لازم معايا خط وي عشان اعرف اسجل البرنامج ولا خط تاني ؟,0
اني نزلت كال مانكدر انفصل الهاي المنطقة,-1
فاشل وتافه لا يستحق بوصة,-1
سيئ معاملة الستر كول زي الزفت تطلب يوصلون بعد كم ساعه,-1
مواعيد زلت غرامات عالفاضى وصعوبة الاتصال بالكابتن يعنى حاجة مقرفة,-1
٪ من بغداد لا يمكن التوصيل اليه ادري شكل مسكين شركة متعبين نفسكم جان ليتو الدلفري مالكم يتمشون يم الشركه بس,-1
عايزين باقات غير محدودة للأنترنت البطاقات الموجودة غير مناسبة للاستخدام الدمى,-1
ابداع,1
كنت بدي انزلو بس شفت التعليقات بطل اعود بالله من هيك برنامج,-1
السَلٱمٌ ؏ـَلـْيگمّ-ۈرΖـْمّـٌة”ٱللـّہ”ﯙبُرگـّاتہ متى بتوصلون إلى قناص ؟؟؟ تم الرد علي انه يوجد توصيل ... ولكن backhand index pointing down backhand index pointing down غير موجودين .... انا ادخل التطبيق يقول لا يوجد توصيل منطقتك,-1
ليه البرنامج مش بيحصل لي موقعي يقول لا نوصل لي هذا المنطقه مع أن المنطقه اللي يوصل فيها جنبي علي طول اتمنا تحلو المشكله دي,-1
هذا التطبيق ممتاز,1
التوصيل غالي كثييييير واحيانا اكثر من سعر الطلب غير هيك التطبيق رائع,-1
جدا جميل نشكركم من الاعماق,1
برنامج كول رائع,1
يسهل لك الاختيار يصنف لك المطاعم بتصنيف عجيب يلبي احتياجات المستهلك ، يعرض صور للطعام ، برنامج متكامل والكمال لله,1
أرجو شركة إضافة المترو,0
شكرا لكم ونتمنى الاجتهاد في السرعه اكثر,1
ان هذا البرنامج جميل جدا,1
ممتاز هو حلوا,1
باله بيحكولي اول أشي الطلب قد بعدين قد بعدين قد بعدين قد بعدين ساعة أيش في,-1
باله جدا,-1
تطبيق جميل هو رائع التوصيل ما يستغرق نصف ساعة هو الأسعار مقبوله grinning face thumbs up ممتاز,1
بيلي الطلب لوحده,-1
انا باقي ماجربته قاعد يتحمل انشاءالله يكون حلو,1
عندما اطلب ادفع ولا لا,1
ليش اسعار غالية مرة كتير,1
كيف *كيفيه اصدار تخيبي الساموراي لديكم حديثهم ؟,0
دائم اطلب وجيني تم إلغاء الطلب تطبيق فاشل فاشل فاشل والله ما يستاهل ولا نجمه,-1
حاجه ممتازة,1
ممتاز هو ارادني وايد واريد,1
so amazing,1
انصح الجميع في تنزيل التطبيق اسطوري,1
thank you from the heart for this wonderful application ⚘ thumbs up medium-light skin tone smiling face with hearts,1
حبيت هذا التطبيق كثيرااا red heart,1
لازم يكون في تنظيم اكتر من جانب ..المبلغ ..جودة الطعام ...السرعة .. ويكون في خصومات عشان ينجح التطبيق اكتر من هيك,-1
فص كبير,1
اسرع برنامج توصيل,1
دخلت الكود اكثر من مره ويقول كود غير صحيح ارجو حل المشكله,-1
كول,1
والله يتاجرون pile of poo pile of poo /,-1
هاد لمصر وله الاردن لانكم منزلين منشور على الفيس وتفعلي وهل معقول انو التوصيل المرة الاول تكون مجانية,1
حاجة روعة,1
التطبيق لا يعمل بحاجه باله بصراحه الله يعرفكم,-1
انا هرب بس من التعليقات كويس,1
تطبيق اسطوري,1
good luck,1
التطبيق رائع جدا يوفر لك مطاعم عديدة لتناول وجبة لذيذة,1
الموقع سيء جدا ده اول حاجة لي ساعات بطلب والدى الان ما جاني الطلب هو معلق في مكان واحد هو ثاني حاجة طلبته منه من مطعم بشري هو مرضت مجاني جرثومة معده ما انصح احد فيه الموقع سيء بطريقة كبيره مررررررررررررررررررررررررررررررررررة سيء أعطيته نجمة عشان اعلق وهو يستاهل صفر,-1
تطبيقي المفضل. شكرا على مجهوداتكم.,1
الطلب ما يوصل وإذا وصل يطول يعد ساعتين وفوق,-1
برنامج فاشل ايش انتظر دقيقه ولا دقيقه خير ذبحنا الجوع وما جا الطلب لو اروح رجليه ابنك,-1
ينقذنى من الجوع دائما,1
نفس,-1
²,1
شكرا التاالامغتبتقتقتاإاااااللللةلللبلااورةلةلوة بة ىةة ىىبلبييبلىاةللبيبييبضيسييييى,1
wo,1
زلت جدا ولا نجمة لان سيئ جدا,-1
انه جيد,1
شركه فينوس,1
جييييد ججججددددااا,1
تطبيق ممتاز وجميل,1
بطل يجي عند الرمز الاستلام لما اطلب ولا حدا برن عليه شو المشكلة,-1
ما شاء الله عنهم بس العروض كتير قليلة الاسعار غالية جدا,-1
يحب قلبك الوجبه,1
مني كتير,1
cold face did optical disk الحكومة عم الدون,-1
جميع الطلبات تأتي مضبوطه,1
للاسف البرنامج ياخذ مبلغ للطلب اكثر من ما هو موجود المطعم اضف الى ذلك ان رسوم التوصيل عاليه حيث ياخذ منك فائدتي للطلب للتوصيل بنسبه كبيره,-1
اغبى تطبيق بشوفه بحياتي ، بطيئ معقد وغير واضح وعلق,-1
ممكن تقلل من سعر توصيل,1
برجر كنج,1
شركه اداره فاشله كل مره الطلب يتأخر هو المهم ولا تفهمين حاجه والموضوع ده أكرر اكتر من مره ومسحت البرنامج هو مش هتعمل معهم تاني مش انصح الناس بيه,-1
وايد فيه مطاعم يوصل على الوقت,1
ابلاوعا ابي ببعض تخخلبب ىبعنىب,1
مو راضي يفتح,-1
اسوء خدمة سواء خدمة عملاء او سائقين,-1
تطبيق مستغل هو يتلاعب بالاسعاف,-1
تطبيق فاشل تستغل الكابتن اجور كابتن طلبات,-1
مفتاح,1
ممتاز thumbs up thumbs up red heart red heart,1
star-struck star-struck strawberry strawberry strawberry strawberry red heart red heart red heart red heart red heart,1
بصراحه انا إعلانه جدا الابليكيشن مواعدة بقت سيئه للغايه وتم الغاء ميعاد الساعه,-1
قبل شوي انا محمل التطبيق ولي الحين ما جاء,-1
روووووووووعه smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes star-struck smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes,1
إسم يعني الثقه,1
اشوف ان التطبيق ممتاز جدا ، ما منهم اي قصور ، كل القصور من المطاعم,1
برنامج زين والله يعجبني smiling face,1
المشوار على كل شخص؟؟؟,1
برنامج جالس يطور نفسه الى احسن هو هذا هو مطلوب,1
كيف نظام استخدام تطبيق ما حد جاوب بعت مافي رد منكم كيف محطات ثابته,-1
زلت برنامج وهمي ولا فيه اي حاجه,-1
متراجع طلبات صغير سيء جدا كنت اعتبره من افضل تطبيقات للتوصيل بس كثير صغير يعلق ومشاكل بالتطبيق وفجاة يحول لغة لوحده ويفر السلة وايضا صار في تغيير بالاسعاف واضاف ضريبة مبيعات وخدمة وزادت الاسعار عليه كثير حتى اسعار السلع والوجبات عليه اغلى من الحقيقة في المطعم نفسه ! يعني انتو لانه ليتو رونالدو يعلن لكم رح طلوع المبلغ من العملاء عدا عن مشاكل بالتوصيل التأخير اتمنى يرجع مثل الاول ويحسنو الخدمات فيه لانه انا كنت اطلب بشكل دائم عليه بس حاليا رح اتوقف ما رح اطلب واذا بقى على الحال رح احذف حسابي,-1
ممتاز clapping hands clapping hands clapping hands smiling face with heart-eyes ⚘,1
خدمة متميزه...كابتن محترم,1
السلام عليكم ورحمة الله بركاته حلو,1
بعد التحديث لا يقوم بالفتى هو قمت ازالته واعادة تنزيل لا يتحمل,-1
شركه محترمه جدآ,1
خدمه ممتازه يعطيكم الكافيه,1
وين منطقه نجران؟ ارجو وضعها في اقرب وقت وارجو الرد revolving hearts revolving hearts,-1
كل انا لسه منزله التطبيق جديد وكل ما احجز بيقول فرد بس,-1
رائع رائع رائع رائع رائع رائع,1
تطبيق مميز وجميل .. أفادني كثيرا واختار لي الوقت حيث يسهل على المستخدم بالإضافة إلى أنه يضم الكثير من المطاعم المفضلة لدي .. تطبيق يستحق الإنتشار,1
موظفين تحب شغلها.,1
ارحمنا اعلانات الله يبارك فيكم شوفولكم شركه اعلانات تعمل تخرجت مظبوط مش قارفينا عن يوتيوب واحنا معندناش الخدمه اساسا,-1
مرحبا كيف حالك,1
برنامج مافيه مصداقية طلبت اكثر من مرات وفي اوقات مختلفه ولا جاء الطلب ولا شيء اعود اروح اشوف مطعم واخذ اكل,-1
خدمة رائعة جدا جدا,1
تطبيق ممتاز ولكن في السعوديه يعتبر سيئ جدا لقلة المطاعم والعروض ومدة التوصيل أما باقي دول الخليج ممتاز جدا,-1
بس يا ريت لو ليتو التقييم قبل الطلب هو ليس اثناء الطلب,1
حمس,1
افضل تطبيق على الإطلاق وأسهل تطبيق وسرعة الرد من قبل خدمة العملاء شكرا,1
التطبيق وحش جدا,-1
هو بالنسبه الفنيين ليه التأخير في تفعيل حسابهم.. هو انتم بتخترعوا؟,-1
yum yum,1
تطبيق كثير كثير كثير حلو cloud blue heart red heart blue heart red heart blue heart red heart blue heart cloud,1
تطبيق سيئ ويحتاج هواية تعديلات وايضا اكو مشكلة بتسجيل الدخول,-1
أنا بحاول أبحث عن حاجة معينة مش بيجيبلى غير جمعيات خيرية ليه بيعمل كده,-1
أسوأ تطبيق وأسوأ خدمة عملاء عرفتها البشرية بنصف الجميع بعدم التعامل معهم لأنه راح تصاب بأمراض الضغط والسكر بسبب تعاملك مع هيك خدمة عملاء,-1
برنامج جدا جميل هو رائع,1
الابلكيشن مش شغال عند بنتي مع انه شغال عندي,-1
سهل وايد مناسب للطلبات,1
معامله نسخه وارتفاع بالاسعاف,-1
من اجمل الافكار ربنا يوفقكم جميعا وان شاء الله ننتظر المزيد من أجل تغطية باقى الجمهورية,1
زفتتتتتتتتتتتتتتتتتتتتتتتتتتتتت,-1
المشكله لما تطلب من مطعم حولك ويأخذ التوصيل فوق الساعه حلو المشكله إذا ردكم الناس يدعمونك,-1
كيف العمل قلوبنالا مع,0
غير جيد ابدا ..,-1
ينقذني وقت الجوع face with tears of joy face with tears of joy face with tears of joy broken heart,1
الخدمة كويسة جدا بس ملاحظاتي /الخطوط محدودة نوعا ما /انا هربت من المواصلات العادية علشان بتلف كتير رغم ان في طريق مباشر يوفر وقت هو بنزين مصاريف لقيت بعض الرحلات بتلف كتير هو المشوار ابو ساعه الا ربع يخلص في ساعه هو نص /كاتبين دايما ان معاد انطلاق الرحله مثلا من . لا . بس ديما مجرد ما بيجي . مثلا الرحله تتحرك هو العشر دقايق الي مسموحة ليك مش بتلاقيها /تعامل كابتن الرحلات ممتاز مافي عليه تعليق /العربيات ممتازة مافي عليها تعليق ماعدا ان بعض العربات عليها logo save هو البعض التاني لا يبقى صعب اعرفهم /لما رحله بتتلغي من الشركة يطلبوا منك تاخد اوبر او كريم هو تحول الفاتورة عليهم بس المشكلةانهم مش بيبلغوك ان الرحله ابلغت غير لما معاد الرحله يجي يعني مش بيعت قبلها علشان تعرف انت تهبط اي وسيلة تعنيه,1
إضافة يرجى المطاعم أرقام الملونين,0
البرنامج ممتاز ويستحق خمس نجوم,1
ليش مافيها نيران,-1
أفضل دليفري عن طريق طلبات two hearts,1
روعه بس اكو بالعراق,1
ممتاز اتمني لكم التوفيق,1
ﻣﺎﺗﻌﺮﻓﺶ مشوفتوش الكويتنعرف متعرفنيش بس البرنامج عندي بهجه استفسار. . هل نحجز ينفع عربية قدمنا گيفھا مناسبة وتفضل من ونص,0
كود الخصم مش موجود عندي خالص ممكن حل للمشكله؟؟؟,-1
ليه ما فيها اكل حيوانات,-1
اماكن المحطات بعيدة جدا,-1
رائع.. يوصل في الوقت,1
سيئ جدا اكلت حق الموظفين,-1
احب الاكل,1
ناس محترمة جدا ونتمنى المزيد من النجاح بالتوفيق والازدهار بس يا رب تكملوا بنفس المستوى من الخدمة والاحترام,1
خراااال,-1
احببته,1
بحاجة الى تحسين الخدمة مع المطاعم عشان فى تأخير كتير فى معظم المطاعم...,1
اكتشفت انه الاكل لما تطلبه من المطعم مباشر ارخص من طلبات وكل الاسعار فيها زيادة ونصب محدش يفرح بالعرض ولا بالخصم ، علشان تدفعه اضعاف يا صديقي,-1
لا زلت عند رأيي اتمني تطوير التطبيق وضع صورة للوجبات المذاق اذا كان ستايسي او عادى والمطاعم قليلة جدا جدا جدا فااااااشل لا انصح بتحميله مفيش تفاصيل للوجبات ولا اختيار الطعم ولا حتي صورة ولا مكونات الجانبية للوجبات زى الزفت وخسارة النجمة,-1
ممتاز ..صار لي كم شهر استخدمه روعه صراحة بعض المطاعم رافعين سعر اقل قيمة للطلب هذا اكثر شي مزعج لكن الخيارات الثانية تمام,1
تطبيق اكتيرممتاز بس في مشكلة في فيه فلسطين قد,1
برنامج حلو,1
خط ﺍﻟﺨﻨﺎﺯﻳﺮ,0
ليه ما توصلوا لمستشفى العلمي العام,-1
جيد اعجبنى,1
لن ترينا يوجد توصيل طفلين مدارسهم هو الإسكندرية  اشتراك شهري كيف وثقتم,0
فلماذا يضاهيه وظائفمطلوب شابات مدارسهم ذهاب هو ايام الإسكندرية اشتراك ؟ ؟ ؟,0
برنامج نار fire,1
face with tears of joy face with tears of joy face with tears of joy عجيييب وبس ما ادري ليش اضحك ابتسموا مثلي smiling face with smiling eyes smiling face with smiling eyes,1
اقدر اعلان شفته فى حياتى ليه كده انا لا عايز سويفت بتاعتك ولا عايز اعلانك اخى اقرفتونى زهقت جدا من اعلانك بتاع سويفت من فضلكم الغى الاعلان من عن دى,1
موقع ممتاز وروعة للغاية,1
احسن تطبيق لخدمة التوصيل.,1
زي طيزي بخزي,-1
المصداقية توجد,-1
سريع التوصيل وجميع المطعم فيه,1
اريد ان اعرف المنطقة في اريد سائل هو حاجة هو لغز هو سرور هو نجا هو المدراء ارجو حديث عن taliban ان حدد المنطقة من سائل ارجو يا taliban هيا ارجو ؟؟ persevering face loudly crying face ارجو لاني اسف على يا taliban,1
خدمه ممتازه سريعه,1
قسنطيني اتمنى تزويد التشفير الجي بي] اس العربيهومن,0
رؤؤؤعة,1
سيئه جدااااااااااااااااااااا,-1
لايعمل بشكل سريع في تليفونات سمسونق,-1
بصفه عامة جميل اما التأخير فهذا من المطاعم وليس البرنامج حسب وقت طلبك صلاه او لا واذا وقت ازدحام او لا,1
ان البرنامج جدا ممتاز,1
